 Part Number , Target Date , Customer Name , Customer Code , Status 
ADC1287V,30-01-2024,KADIU,KADIU,Best Offered
ADC1582V,30-01-2024,KADIU,KADIU,Best Offered
ADC1671V,30-01-2024,KADIU,KADIU,Target Accepted
ADC1673V,30-01-2024,KADIU,KADIU,Best Offered
ADC1676V,30-01-2024,KADIU,KADIU,No Discount
ADC1677,30-01-2024,KADIU,KADIU,Best Offered
ADC1678V,30-01-2024,KADIU,KADIU,Best Offered
ADC1770V,30-01-2024,KADIU,KADIU,Best Offered
ADC1792V,30-01-2024,KADIU,KADIU,Best Offered
ADC1920V,30-01-2024,KADIU,KADIU,Best Offered
ADC2505V,30-01-2024,KADIU,KADIU,Best Offered
ADC2515V,30-01-2024,KADIU,KADIU,Best Offered
ADC2603V,30-01-2024,KADIU,KADIU,Target Accepted
ADC2724,30-01-2024,KADIU,KADIU,Target Accepted
ADC2730V,30-01-2024,KADIU,KADIU,Target Accepted
ADC2810V,30-01-2024,KADIU,KADIU,Best Offered
ADC2817V,30-01-2024,KADIU,KADIU,Best Offered
ADC2844V,30-01-2024,KADIU,KADIU,Best Offered
ADC2850V,30-01-2024,KADIU,KADIU,Best Offered
ADC2863V,30-01-2024,KADIU,KADIU,Best Offered
ADC2882V,30-01-2024,KADIU,KADIU,Best Offered
ADC2886V,30-01-2024,KADIU,KADIU,Best Offered
ADC2893V,30-01-2024,KADIU,KADIU,Target Accepted
ADC2907V,30-01-2024,KADIU,KADIU,Best Offered
ADC2920V,30-01-2024,KADIU,KADIU,Best Offered
ADC2922V,30-01-2024,KADIU,KADIU,Best Offered
ADC2923V,30-01-2024,KADIU,KADIU,Best Offered
ADC2933V,30-01-2024,KADIU,KADIU,Target Accepted
ADC2961V,30-01-2024,KADIU,KADIU,Best Offered
ADC2964V,30-01-2024,KADIU,KADIU,Best Offered
ADC2969V,30-01-2024,KADIU,KADIU,Best Offered
ADC2970V,30-01-2024,KADIU,KADIU,Best Offered
ADC2973V,30-01-2024,KADIU,KADIU,Best Offered
ADC2999V,30-01-2024,KADIU,KADIU,Best Offered
ADC3035,30-01-2024,KADIU,KADIU,Target Accepted
ADC4082V,30-01-2024,KADIU,KADIU,Best Offered
ADC5003V,30-01-2024,KADIU,KADIU,Best Offered
ADC5013V,30-01-2024,KADIU,KADIU,Best Offered
ADC5027V,30-01-2024,KADIU,KADIU,Best Offered
ADC5036V,30-01-2024,KADIU,KADIU,Best Offered
ADC5047V,30-01-2024,KADIU,KADIU,Best Offered
ADC5048V,30-01-2024,KADIU,KADIU,Best Offered
ADC5050V,30-01-2024,KADIU,KADIU,Best Offered
ADC5059V,30-01-2024,KADIU,KADIU,Best Offered
ADC5061V,30-01-2024,KADIU,KADIU,Best Offered
ADC5075V,30-01-2024,KADIU,KADIU,Best Offered
ADC5079V,30-01-2024,KADIU,KADIU,Best Offered
ADC5080V,30-01-2024,KADIU,KADIU,Best Offered
ADC5081V,30-01-2024,KADIU,KADIU,Best Offered
CBC007L,30-01-2024,KADIU,KADIU,Target Accepted
CBC007R,30-01-2024,KADIU,KADIU,Target Accepted
CBJ7099,30-01-2024,KADIU,KADIU,No Discount
CBK286,30-01-2024,KADIU,KADIU,Best Offered
CCA1081,30-01-2024,KADIU,KADIU,Best Offered
CCA1355L,30-01-2024,KADIU,KADIU,Best Offered
CCA1383L,30-01-2024,KADIU,KADIU,Best Offered
CCA1424L,30-01-2024,KADIU,KADIU,Best Offered
CCA1433L,30-01-2024,KADIU,KADIU,Best Offered
CCA2081,30-01-2024,KADIU,KADIU,Best Offered
CCA2355R,30-01-2024,KADIU,KADIU,Best Offered
CCA2383R,30-01-2024,KADIU,KADIU,Best Offered
CCA2424R,30-01-2024,KADIU,KADIU,Best Offered
CCA2433R,30-01-2024,KADIU,KADIU,Best Offered
CHA016,30-01-2024,KADIU,KADIU,Best Offered
CHA073,30-01-2024,KADIU,KADIU,Best Offered
CHA296,30-01-2024,KADIU,KADIU,Target Accepted
CKI12264,30-01-2024,KADIU,KADIU,Best Offered
CNS13017,30-01-2024,KADIU,KADIU,No Discount
CNS13017DV,30-01-2024,KADIU,KADIU,No Discount
CRB3327,30-01-2024,KADIU,KADIU,Best Offered
CSL5017,30-01-2024,KADIU,KADIU,Best Offered
CSL5120,30-01-2024,KADIU,KADIU,Best Offered
CSL6017,30-01-2024,KADIU,KADIU,Best Offered
CSL6120,30-01-2024,KADIU,KADIU,Best Offered
EAF1006,30-01-2024,KADIU,KADIU,No Discount
EAF1010,30-01-2024,KADIU,KADIU,Best Offered
EAF1015,30-01-2024,KADIU,KADIU,Obsolete
EAF689,30-01-2024,KADIU,KADIU,Best Offered
EAF714,30-01-2024,KADIU,KADIU,Best Offered
EAF764,30-01-2024,KADIU,KADIU,No Discount
EAF799,30-01-2024,KADIU,KADIU,Obsolete
EAF849,30-01-2024,KADIU,KADIU,No Discount
EAF868,30-01-2024,KADIU,KADIU,Best Offered
EAF874,30-01-2024,KADIU,KADIU,No Discount
EAF978,30-01-2024,KADIU,KADIU,Best Offered
EAF991,30-01-2024,KADIU,KADIU,Best Offered
EAF998,30-01-2024,KADIU,KADIU,No Discount
EFF058,30-01-2024,KADIU,KADIU,No Discount
EFF068,30-01-2024,KADIU,KADIU,No Discount
EFF070,30-01-2024,KADIU,KADIU,Best Offered
EFF092,30-01-2024,KADIU,KADIU,No Discount
EFF135,30-01-2024,KADIU,KADIU,No Discount
EFF140,30-01-2024,KADIU,KADIU,No Discount
EFF149,30-01-2024,KADIU,KADIU,No Discount
EFF152,30-01-2024,KADIU,KADIU,Target Accepted
EFF192,30-01-2024,KADIU,KADIU,No Discount
EFF193,30-01-2024,KADIU,KADIU,No Discount
EFF196,30-01-2024,KADIU,KADIU,No Discount
EFF225,30-01-2024,KADIU,KADIU,No Discount
EFF229,30-01-2024,KADIU,KADIU,No Discount
EFF235,30-01-2024,KADIU,KADIU,No Discount
EFF239,30-01-2024,KADIU,KADIU,No Discount
EFF241,30-01-2024,KADIU,KADIU,No Discount
EFF250D,30-01-2024,KADIU,KADIU,No Discount
EFF253,30-01-2024,KADIU,KADIU,No Discount
EFF256,30-01-2024,KADIU,KADIU,Best Offered
EFF263D,30-01-2024,KADIU,KADIU,No Discount
EFF269,30-01-2024,KADIU,KADIU,No Discount
EFF273D,30-01-2024,KADIU,KADIU,No Discount
EFF274D,30-01-2024,KADIU,KADIU,No Discount
EFF277D,30-01-2024,KADIU,KADIU,No Discount
EFF278D,30-01-2024,KADIU,KADIU,Best Offered
EFF279D,30-01-2024,KADIU,KADIU,Best Offered
EFF280D,30-01-2024,KADIU,KADIU,Best Offered
EFF288D,30-01-2024,KADIU,KADIU,No Discount
EFF292D,30-01-2024,KADIU,KADIU,No Discount
EFF305D,30-01-2024,KADIU,KADIU,Best Offered
EFF312D,30-01-2024,KADIU,KADIU,Under Development
EFF321D,30-01-2024,KADIU,KADIU,Best Offered
EFF322D,30-01-2024,KADIU,KADIU,No Discount
EFF325D,30-01-2024,KADIU,KADIU,No Discount
EFF328D,30-01-2024,KADIU,KADIU,Best Offered
EFF329D,30-01-2024,KADIU,KADIU,Best Offered
EFF330D,30-01-2024,KADIU,KADIU,No Discount
EFF331D,30-01-2024,KADIU,KADIU,Best Offered
EFF333D,30-01-2024,KADIU,KADIU,Obsolete
EFF344D,30-01-2024,KADIU,KADIU,No Discount
EFF354D,30-01-2024,KADIU,KADIU,Best Offered
EFF357D,30-01-2024,KADIU,KADIU,No Discount
EFF359D,30-01-2024,KADIU,KADIU,Best Offered
EFF360D,30-01-2024,KADIU,KADIU,Under Development
EFF367D,30-01-2024,KADIU,KADIU,Under Development
EKF197A,30-01-2024,KADIU,KADIU,Best Offered
EKF220A,30-01-2024,KADIU,KADIU,No Discount
EKF246A,30-01-2024,KADIU,KADIU,Best Offered
EKF409A-2,30-01-2024,KADIU,KADIU,Obsolete
EKF414A,30-01-2024,KADIU,KADIU,Under Development
EKF435A,30-01-2024,KADIU,KADIU,Under Development
EOF263,30-01-2024,KADIU,KADIU,Target Accepted
CBJ7294,30-01-2024,KADIU,KADIU,Best Offered
CBP9039K,30-01-2024,KADIU,KADIU,No Discount
CBP9042M,30-01-2024,KADIU,KADIU,Obsolete
CBP9042MK,30-01-2024,KADIU,KADIU,No Discount
CBP9043K,30-01-2024,KADIU,KADIU,Best Offered
CBP9048K,30-01-2024,KADIU,KADIU,Best Offered
CBP9053,30-01-2024,KADIU,KADIU,Best Offered
CBP9058MK,30-01-2024,KADIU,KADIU,No Discount
CBP9078MK,30-01-2024,KADIU,KADIU,No Discount
CBP9080MK,30-01-2024,KADIU,KADIU,No Discount
CBP9081K,30-01-2024,KADIU,KADIU,No Discount
EAF1054,30-01-2024,KADIU,KADIU,Under Development
EAF1055,30-01-2024,KADIU,KADIU,Under Development
EAF1056,30-01-2024,KADIU,KADIU,Obsolete
EFF374D,30-01-2024,KADIU,KADIU,Under Development
EFF375D,30-01-2024,KADIU,KADIU,Under Development
EFF376D,30-01-2024,KADIU,KADIU,Best Offered
EOF353,30-01-2024,KADIU,KADIU,Under Development
ADC5109V,30-01-2024,KADIU,KADIU,Target Accepted
CHA410,30-01-2024,KADIU,KADIU,Target Accepted
EFF377D,30-01-2024,KADIU,KADIU,Under Development
EFF378D,30-01-2024,KADIU,KADIU,Under Development
ADC5124,30-01-2024,KADIU,KADIU,Best Offered
ADC5133,30-01-2024,KADIU,KADIU,Best Offered
ADC5203V,30-01-2024,KADIU,KADIU,Under Development
ADC5204V,30-01-2024,KADIU,KADIU,Under Development
ADC5205V,30-01-2024,KADIU,KADIU,Under Development
EAF1058,30-01-2024,KADIU,KADIU,Under Development
EAF1059,30-01-2024,KADIU,KADIU,Obsolete
EAF1061,30-01-2024,KADIU,KADIU,Under Development
EAF1062,30-01-2024,KADIU,KADIU,Obsolete
EKF456,30-01-2024,KADIU,KADIU,Under Development
EKF457A,30-01-2024,KADIU,KADIU,Under Development
EKF458A,30-01-2024,KADIU,KADIU,Under Development
EAF1065,30-01-2024,KADIU,KADIU,Obsolete
EAF1066,30-01-2024,KADIU,KADIU,Under Development
EFF382D,30-01-2024,KADIU,KADIU,Under Development
ADC1258V,30-01-2024,KADIU,KADIU,Obsolete
CBP9014MK,30-01-2024,KADIU,KADIU,Obsolete
EAF832,30-01-2024,KADIU,KADIU,Obsolete
CBC595L,30-01-2024,KADIU,KADIU,Under Development
CBC595R,30-01-2024,KADIU,KADIU,Under Development
CBC816L,30-01-2024,KADIU,KADIU,Under Development
CBC816R,30-01-2024,KADIU,KADIU,Under Development
CBC822L,30-01-2024,KADIU,KADIU,Under Development
CBC822R,30-01-2024,KADIU,KADIU,Under Development
CBC824L,30-01-2024,KADIU,KADIU,Under Development
CBC824R,30-01-2024,KADIU,KADIU,Under Development
CBC826L,30-01-2024,KADIU,KADIU,Under Development
CBC826R,30-01-2024,KADIU,KADIU,Under Development
CBC858L,30-01-2024,KADIU,KADIU,Under Development
CBC858R,30-01-2024,KADIU,KADIU,Under Development
CBP33984,30-01-2024,KADIU,KADIU,Best Offered
ADC5216V,30-01-2024,KADIU,KADIU,Under Development
ADC5222V,30-01-2024,KADIU,KADIU,Under Development
ADC5224V,30-01-2024,KADIU,KADIU,Under Development
ADC5226V,30-01-2024,KADIU,KADIU,Under Development
ADC5228V,30-01-2024,KADIU,KADIU,Under Development
ADC5230V,30-01-2024,KADIU,KADIU,Under Development
ADC5232V,30-01-2024,KADIU,KADIU,Under Development
ADC5234V,30-01-2024,KADIU,KADIU,Under Development
ADC5277,30-01-2024,KADIU,KADIU,Under Development
ADC5279,30-01-2024,KADIU,KADIU,Under Development
ADC5281,30-01-2024,KADIU,KADIU,Under Development
ADC5283,30-01-2024,KADIU,KADIU,Under Development
ADC5309V,30-01-2024,KADIU,KADIU,Under Development
ADC5223V,30-01-2024,KADIU,KADIU,Under Development
ADC5227V,30-01-2024,KADIU,KADIU,Under Development
ADC5231V,30-01-2024,KADIU,KADIU,Under Development
ADC5233V,30-01-2024,KADIU,KADIU,Under Development
ADC5276,30-01-2024,KADIU,KADIU,Under Development
ADC5278,30-01-2024,KADIU,KADIU,Under Development
ADC5280,30-01-2024,KADIU,KADIU,Under Development
ADC5282,30-01-2024,KADIU,KADIU,Under Development
ADC5308V,30-01-2024,KADIU,KADIU,Under Development
CBP03977,30-01-2024,KADIU,KADIU,Under Development
CBP33985,30-01-2024,KADIU,KADIU,Best Offered
ADC1916V,01-02-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
EFF263D,02-02-2024,AU-TECNA,AU-TECNA,No Discount
CCA1417L,02-02-2024,AU-TECNA,AU-TECNA,Best Offered
CCA1417R,02-02-2024,AU-TECNA,AU-TECNA,Best Offered
EKF344,05-02-2024,A Psaltis + Sotiris,A Psaltis + Sotiris,Best Offered
CBJ5024,08-02-2024,ASG,ASG,Best Offered
CBJ6024,08-02-2024,ASG,ASG,Best Offered
CBJ7005,08-02-2024,ASG,ASG,No Discount
CBJ7009,08-02-2024,ASG,ASG,No Discount
CBJ7011,08-02-2024,ASG,ASG,No Discount
CBJ7035,08-02-2024,ASG,ASG,Best Offered
CBJ7042,08-02-2024,ASG,ASG,No Discount
CBJ7046,08-02-2024,ASG,ASG,No Discount
CBJ7057,08-02-2024,ASG,ASG,Target Accepted
CBJ7099,08-02-2024,ASG,ASG,Best Offered
CBJ7102,08-02-2024,ASG,ASG,Best Offered
CBJ7125,08-02-2024,ASG,ASG,Best Offered
CBJ7129,08-02-2024,ASG,ASG,No Discount
CBJ7176,08-02-2024,ASG,ASG,Best Offered
CBJ7177,08-02-2024,ASG,ASG,Best Offered
CBJ7234,08-02-2024,ASG,ASG,Best Offered
CRB3012,08-02-2024,ASG,ASG,No Discount
CRB3013,08-02-2024,ASG,ASG,No Discount
CRB3015,08-02-2024,ASG,ASG,Best Offered
CRB3017,08-02-2024,ASG,ASG,Best Offered
CRB3023,08-02-2024,ASG,ASG,No Discount
CRB3025,08-02-2024,ASG,ASG,No Discount
CRB3027,08-02-2024,ASG,ASG,Best Offered
CRB3049,08-02-2024,ASG,ASG,Best Offered
CRB3063,08-02-2024,ASG,ASG,Best Offered
CRB3086,08-02-2024,ASG,ASG,No Discount
CRB3087,08-02-2024,ASG,ASG,No Discount
CRB3094,08-02-2024,ASG,ASG,Best Offered
CRB3097,08-02-2024,ASG,ASG,No Discount
CRB3112,08-02-2024,ASG,ASG,No Discount
CRB3131,08-02-2024,ASG,ASG,No Discount
CRB3155,08-02-2024,ASG,ASG,Best Offered
CRB3173,08-02-2024,ASG,ASG,No Discount
CRB3186,08-02-2024,ASG,ASG,No Discount
CRB3188,08-02-2024,ASG,ASG,No Discount
CRB3190,08-02-2024,ASG,ASG,Best Offered
CRB3196,08-02-2024,ASG,ASG,Best Offered
CRB3209,08-02-2024,ASG,ASG,Best Offered
CRB3222,08-02-2024,ASG,ASG,No Discount
CRB3234,08-02-2024,ASG,ASG,Best Offered
CRB3243,08-02-2024,ASG,ASG,Best Offered
CRB3258,08-02-2024,ASG,ASG,Best Offered
CRB3315,08-02-2024,ASG,ASG,Best Offered
CRB3319,08-02-2024,ASG,ASG,No Discount
CRB3330,08-02-2024,ASG,ASG,Target Accepted
CRB3342,08-02-2024,ASG,ASG,Best Offered
CRB3377,08-02-2024,ASG,ASG,Best Offered
CRB3403,08-02-2024,ASG,ASG,Best Offered
CRB3404,08-02-2024,ASG,ASG,No Discount
CRB3417,08-02-2024,ASG,ASG,Best Offered
CSL5031,08-02-2024,ASG,ASG,Best Offered
CSL6031,08-02-2024,ASG,ASG,Best Offered
CSL7020,08-02-2024,ASG,ASG,No Discount
CSL7027,08-02-2024,ASG,ASG,No Discount
CSL7041,08-02-2024,ASG,ASG,No Discount
CSL7046,08-02-2024,ASG,ASG,Best Offered
CSL7077,08-02-2024,ASG,ASG,Best Offered
CSL7091,08-02-2024,ASG,ASG,No Discount
CSL7185,08-02-2024,ASG,ASG,No Discount
CSL7189,08-02-2024,ASG,ASG,Best Offered
CSL7228,08-02-2024,ASG,ASG,Best Offered
CSL7237,08-02-2024,ASG,ASG,No Discount
CSL7239,08-02-2024,ASG,ASG,Best Offered
CSL7250,08-02-2024,ASG,ASG,No Discount
CSL7251,08-02-2024,ASG,ASG,Target Accepted
CSL7284,08-02-2024,ASG,ASG,Best Offered
CSL7317,08-02-2024,ASG,ASG,Best Offered
CSRM3000,08-02-2024,ASG,ASG,No Discount
CSRM3012,08-02-2024,ASG,ASG,Best Offered
CSRM3016,08-02-2024,ASG,ASG,Best Offered
CSRM3021,08-02-2024,ASG,ASG,No Discount
CSRM3027,08-02-2024,ASG,ASG,Best Offered
CSRM3033,08-02-2024,ASG,ASG,No Discount
CSRM3034,08-02-2024,ASG,ASG,No Discount
